Arabic Name,English Name
الجونال,ALGONAL
انجيلات,Angilat 10 Tablets
اسبرين,ASPIRIN
انجيلات 20,Angilat 20
اسبرين الاطفال,ASPIRIN CHILDREN 100mg
اسبرين,ASPIRIN ADULT TAB 300MG
الكا-زلتسر,ALKA-SELTZER
الأسبرين,ASPIRIN EFFERVESCENT WITH VITAMIN C
ادبرين,ADIPRIN 100MG E.C.TAB
ادالات,ADALAT 60MG LA TAB
ادالات,ADALAT RETARD 20MG TABS
افالوكس,AVALOX 400MG SOLUTION FOR I.V. INFUSION
افيلوكس,AVALOX 400MG TAB
اندوسيد,INDOCID 100MG SUPPOSITORIES
الدوميت,ALDOMET 250MG TABLETS
اوبرازول,OPRAZOLE 20MG E.C.TAB
الوجيل,ALUGEL SUSP
اندومين كبسولات,INDOMIN CAP 25MG
امبوجان,IMPUGAN 10MG-ML INJ 2ML AMP
اليزول,ELYZOL VAG.PESSARIES 500MG
اليزول,ELYZOL INFUSION 5MG-ML
اروماسين,AROMASIN 25MG COATED TAB
اليزول,ELYZOL SUPP 500MG
اوفتالمولوزا,OFTALMOLOSA 0.5%
اوفتالمولوزا,OFTHALMOLOSA CUSI CHLORAMPHEN.OINT 1%
ايمبوجان,IMPUGAN TABLETS 40 MG
الكونسيرتا,CONCERTA EXTENDED RELEASE 36MG TABLET
ارانسب,ARANESP 100MCG-0.5ML PRE-FILLED SYRINGE
ارانيسب,ARANESP 10MCG-0.4ML PRE-FILLED SYRINGE
الارانسب,ARANESP 150MCG-0.3ML PRE-FILLED SYRINGE
الارانيسب,ARANESP 15MCG-0.375ML PRE-FILLED SYRINGE
ارانسب,ARANESP 20MCG-0.5ML PRE-FILLED SYRINGE
ارانيسب,ARANESP 300MCG-0.6ML PRE-FILLED SYRINGE
ارانسب 30MCG,ARANESP 30MCG-0.3ML PRE-FILLED SYRINGE
ارانيسب 60MCG,ARANESP 60MCG-0.3ML PRE-FILLED SYRINGE
ارانسب,ARANESP 80MCG-0.4ML PRE-FILLED SYRINGE
اوتوزول,OTOZOL 1% EAR DROP
ابيفرين,APIFRIN-Z EYE DROP
ابيلرج,APILLERG EYE DROPS
ادريبلاستينا,ADRIBLASTINA 10MG VIAL & SOLV
ادريبلاستين,ADRIBLASTINA 50MG VIAL & SOLV
ايمافير,IMAVIR 5% CREAM
ابيزولين,APIZOLIN 0.1% EYE DROP
